Date-Hour(NMT),WindSpeed,Sunshine,AirPressure,Radiation,AirTemperature,RelativeAirHumidity,SystemProduction
28.02.2017-14:00,4.8,0,979.7,49.3,3.2,91,436.1667
28.02.2017-15:00,5.3,0,979.9,23.3,2.8,93,1171.6667
28.02.2017-16:00,4.7,0,979.9,70.4,3.5,86,325.3333
28.02.2017-17:00,3.9,0,980.3,25.9,3.4,84,145.5
28.02.2017-18:00,4.4,0,980.7,-1.1,3,90,1.8333
28.02.2017-19:00,3.4,0,981.1,-5.6,2.4,92,0
28.02.2017-20:00,1.4,0,981.2,-5,1.9,93,0
28.02.2017-21:00,1.35,0,981.6,-5.6,0.6,96,0
28.02.2017-22:00,1.3,0,981.5,-4.8,1,96,0
28.02.2017-23:00,2.6,0,981.2,-5.8,2,93,0
01.03.2017-00:00,2.5,0,981.2,-5.7,1.9,92,0
01.03.2017-01:00,2.4,0,981.1,-6.2,2,91,0
01.03.2017-02:00,2.6,0,980.7,-5.9,2.2,86,0
01.03.2017-03:00,4.1,0,980.2,-6.4,1.6,91,0
01.03.2017-04:00,3.9,0,979.8,-6,1.5,91,0
01.03.2017-05:00,3.5,0,979.7,-5.9,1.3,92,0
01.03.2017-06:00,3.6,0,979.9,-5.9,1.2,94,0
01.03.2017-07:00,4.3,0,980,-5.9,1.2,94,0
01.03.2017-08:00,4.1,0,980.5,0.6,1.3,93,0
01.03.2017-09:00,4.4,0,981,43.2,1.5,92,213.3333
01.03.2017-10:00,3.1,0,981.5,97.6,2,88,940.8333
01.03.2017-11:00,1.8,42,982.1,241.8,3.2,80,1286.1667
01.03.2017-12:00,2.1,14,983,149.8,3.1,78,1363.3333
01.03.2017-13:00,3.2,46,983.3,326.9,4.6,68,2186.8334
01.03.2017-14:00,1.9,13,983.5,209.5,3.9,72,1229.6667
01.03.2017-15:00,2.6,21,984.3,158.9,4.5,68,941.6667
01.03.2017-16:00,1.7,32,985,130.1,4.2,70,443.1667
01.03.2017-17:00,2,0,985.6,23.2,2.9,81,162.8334
01.03.2017-18:00,1.3,0,986.3,0.3,2.6,84,0
01.03.2017-19:00,1.7,0,986.9,-6.4,2.2,88,0
01.03.2017-20:00,0.6,0,987.4,-6.5,1.4,92,0
01.03.2017-21:00,1.6,0,988.1,-6.5,1.4,95,0
01.03.2017-22:00,1.1,0,988.4,-6.7,1.2,96,0
01.03.2017-23:00,1.2,0,988.8,-6.6,1.3,96,0
02.03.2017-00:00,1.1,0,989.3,-6.2,1,97,0
02.03.2017-01:00,0.7,0,989.5,-6.1,0.7,97,0
02.03.2017-02:00,1.2,0,989.6,-6.8,0.2,98,0
02.03.2017-03:00,0.6,0,989.7,-6.2,-0.7,99,0
02.03.2017-04:00,0.5,0,990.3,-6.2,-0.9,100,0
02.03.2017-05:00,0.6,0,990.5,-6.6,-1.2,99,0
02.03.2017-06:00,0.8,0,990.7,-6.5,-1.5,99,0
02.03.2017-07:00,1.3,0,991.1,-5.8,-1.6,100,0
02.03.2017-08:00,1,0,991.4,1.4,-1.7,100,0
02.03.2017-09:00,1.6,0,992,24.4,-2.1,99,137.3333
02.03.2017-10:00,0.9,0,992.6,60.4,-1.8,99,528.8334
02.03.2017-11:00,1.4,0,993,99.8,-1.5,98,790.5
02.03.2017-12:00,0.5,0,993.4,162.2,-0.4,93,1041.6666
02.03.2017-13:00,2,8,993.6,188.6,-0.6,88,1135.8334
02.03.2017-14:00,0.4,0,993.9,149.4,-0.9,93,2021.8333
02.03.2017-15:00,0.8,0,994.1,138.9,-1,93,1217.6667
02.03.2017-16:00,1.4,0,994.3,83,-0.8,93,507.8333
02.03.2017-17:00,1.1,0,994.6,52.4,-1.1,95,331.6666
02.03.2017-18:00,1,0,995,5.4,-1.1,96,21.375
02.03.2017-19:00,0.5,0,995.3,-6.1,-0.7,97,0
02.03.2017-20:00,0.5,0,995.5,-7,-0.1,97,0
02.03.2017-21:00,0.9,0,995.5,-7.5,-0.6,98,0
02.03.2017-22:00,1.2,0,995.6,-6.9,-0.7,98,0
02.03.2017-23:00,0.3,0,995.7,-6.6,-0.6,98,0
03.03.2017-00:00,1.1,0,995.9,-6.7,-0.6,99,0
03.03.2017-01:00,1.1,0,996.2,-6,-0.7,99,0
03.03.2017-02:00,1.1,0,996.2,-5.8,-0.7,99,0
03.03.2017-03:00,1.1,0,996.1,-6,-0.9,99,0
03.03.2017-04:00,0.8,0,996.2,-5.7,-0.9,99,0
03.03.2017-05:00,1.3,0,996.5,-5.8,-1.2,99,0
03.03.2017-06:00,0.6,0,996.6,-5.3,-1.1,98,0
03.03.2017-07:00,1.6,0,996.7,-5.1,-1.2,98,0
03.03.2017-08:00,1.1,0,997,-2,-1.1,96,0
03.03.2017-09:00,1.1,0,997.2,9.9,-0.9,95,0
03.03.2017-10:00,2.5,0,997.7,43.8,-0.6,87,167.3333
03.03.2017-11:00,2.5,0,997.8,75.7,-0.3,84,404.5
03.03.2017-12:00,1.3,0,998.4,119.9,0.3,81,654.3334
03.03.2017-13:00,1.3,0,998.8,110.1,0.2,80,1953.3333
03.03.2017-14:00,1.8,0,999,52.8,0.1,84,2301.5
03.03.2017-15:00,0.7,0,999.2,70.4,0.4,82,1538.5
03.03.2017-16:00,1.5,0,999.3,70.5,0.4,83,987.6666
03.03.2017-17:00,1.8,0,999.7,28.2,0.2,84,337.3333
03.03.2017-18:00,1.4,0,999.7,0.1,0.1,84,0
03.03.2017-19:00,1.4,0,1000.3,-6,-0.1,81,0
03.03.2017-20:00,1.6,0,1000.6,-6,0,83,0
03.03.2017-21:00,2.5,0,1000.6,-5.9,-0.3,87,0
03.03.2017-22:00,2.5,0,1001.2,-5.2,-0.5,85,0
03.03.2017-23:00,3.1,0,1001.4,-5.5,-0.7,89,0
04.03.2017-00:00,4,0,1001.4,-5.4,-0.8,89,0
04.03.2017-01:00,3.6,0,1002,-4.9,-0.9,89,0
04.03.2017-02:00,4.3,0,1001.8,-5.2,-1.1,90,0
04.03.2017-03:00,4.2,0,1001.8,-5.1,-1.1,87,0
04.03.2017-04:00,4.7,0,1001.8,-5.1,-1.3,86,0
04.03.2017-05:00,4.7,0,1002.2,-5.1,-0.8,84,0
04.03.2017-06:00,3.6,0,1002.4,-5.2,-0.8,83,0
04.03.2017-07:00,4.4,0,1002.6,-4.8,-0.7,83,0
04.03.2017-08:00,4,0,1003.2,3.4,-0.6,83,0
04.03.2017-09:00,4.1,0,1003.3,55.4,-0.4,82,0
04.03.2017-10:00,4,0,1003.7,80.9,-0.2,81,0
04.03.2017-11:00,4.4,0,1004,107.8,0.1,80,44.5
04.03.2017-12:00,3.6,0,1004.4,177.4,0.7,79,425.8333
04.03.2017-13:00,3.9,0,1004.8,146.9,0.6,85,352.6667
04.03.2017-14:00,4.1,0,1004.6,219.6,1,83,642.1666
04.03.2017-15:00,4.2,0,1004.5,118.3,0.7,88,515.3333
04.03.2017-16:00,3.8,0,1004.8,63.8,1.1,86,534.5
04.03.2017-17:00,5.7,0,1005.5,22.6,0.8,88,102.5
04.03.2017-18:00,5,0,1006.1,3.1,0.8,88,0
04.03.2017-19:00,5.3,0,1006.6,-4.9,0.9,85,0
04.03.2017-20:00,5,0,1007.4,-5.1,0.5,83,0
04.03.2017-21:00,5.3,0,1007.7,-5.1,0.1,82,0
04.03.2017-22:00,4.2,0,1008.2,-5.1,-0.2,83,0
04.03.2017-23:00,4.9,0,1008.6,-5.1,-0.5,85,0
05.03.2017-00:00,5.1,0,1009,-5.1,-0.6,85,0
05.03.2017-01:00,4.5,0,1009.4,-5.1,-0.8,86,0
05.03.2017-02:00,5.6,0,1009.4,-5.1,-1.1,85,0
05.03.2017-03:00,6.3,0,1009.5,-4.8,-1.5,81,0
05.03.2017-04:00,5.2,0,1009.7,-4.8,-1.8,77,0
05.03.2017-05:00,5.6,0,1010.2,-5,-2.1,74,0
05.03.2017-06:00,5.6,0,1010.3,-5,-2.4,75,0
05.03.2017-07:00,7.2,0,1010.8,-4.8,-2.7,74,0
05.03.2017-08:00,6,0,1011.1,3.1,-2.6,73,0
05.03.2017-09:00,6,0,1011.2,26.8,-2.5,73,281.8333
05.03.2017-10:00,6.6,0,1011,109.2,-2.2,72,915.3333
05.03.2017-11:00,7,0,1011,95.3,-1.9,66,1332.6667
05.03.2017-12:00,5,0,1011.2,51.4,-1.5,65,827.0001
05.03.2017-13:00,4.8,0,1011.2,73.7,-0.9,61,684.0001
05.03.2017-14:00,6.3,0,1010.8,165.4,-0.3,59,2305
05.03.2017-15:00,6.4,0,1010.9,140.1,0,55,1857.5
05.03.2017-16:00,4.4,0,1010.8,51.9,-0.2,58,520
05.03.2017-17:00,4.8,0,1011,17,-0.4,57,135
05.03.2017-18:00,5,0,1011.6,1.9,-0.5,56,0
05.03.2017-19:00,5.6,0,1012.4,-5,-0.7,60,0
05.03.2017-20:00,5.9,0,1013.3,-5.1,-1,54,0
05.03.2017-21:00,6.1,0,1013.8,-5.1,-1.3,54,0
05.03.2017-22:00,4.9,0,1014.3,-5.1,-1.8,58,0
05.03.2017-23:00,4.9,0,1014.7,-5.1,-2.3,59,0
06.03.2017-00:00,5.1,0,1015.3,-5.1,-2.6,58,0
06.03.2017-01:00,6,0,1015.8,-5.1,-3.1,60,0
06.03.2017-02:00,5.9,0,1016.2,-5.1,-3.6,64,0
06.03.2017-03:00,5.5,0,1016.4,-5,-3.7,67,0
06.03.2017-04:00,5.6,0,1016.7,-4.9,-3.5,67,0
06.03.2017-05:00,6.6,0,1017.3,-4.7,-3.5,67,0
06.03.2017-06:00,5.8,0,1018,-4.6,-3.5,67,0
06.03.2017-07:00,6.6,0,1018.7,-3.7,-3.6,67,0
06.03.2017-08:00,6.3,12,1019.1,46.9,-3.3,66,172.3334
06.03.2017-09:00,5.3,56,1019.4,156.6,-3.1,65,666.8333
06.03.2017-10:00,5.8,60,1019.4,256.2,-2.6,63,648.6667
06.03.2017-11:00,5.3,59,1019.2,348.4,-1.5,56,1728.8333
06.03.2017-12:00,5,42,1019.3,317.3,-1.2,54,2313.8334
06.03.2017-13:00,4.4,35,1019.1,364.2,-0.1,49,3238.1667
06.03.2017-14:00,5.9,57,1018.9,385.7,-0.3,49,2362.8333
06.03.2017-15:00,7.1,58,1018.7,316.7,-0.1,47,984.8333
06.03.2017-16:00,6.5,59,1018.9,254.4,-0.3,49,490
06.03.2017-17:00,6,58,1019.1,131.6,-0.7,51,752.3334
06.03.2017-18:00,5,33,1019.6,26,-1.4,55,166.8333
06.03.2017-19:00,6.4,0,1020.3,-5.9,-1.7,56,0
06.03.2017-20:00,6.1,0,1020.8,-6.4,-2.1,57,0
06.03.2017-21:00,5.3,0,1021.3,-6.4,-2.9,57,0
06.03.2017-22:00,6,0,1021.8,-6.5,-3.3,57,0
06.03.2017-23:00,5.6,0,1022.2,-6.1,-3.8,58,0
07.03.2017-00:00,5.1,0,1022.7,-5.8,-4.1,60,0
07.03.2017-01:00,5.1,0,1022.8,-5.8,-4.5,62,0
07.03.2017-02:00,5.5,0,1022.8,-5.8,-4.9,64,0
07.03.2017-03:00,4.9,0,1022.7,-6,-5.4,66,0
07.03.2017-04:00,5.3,0,1022.6,-5.8,-5.7,69,0
07.03.2017-05:00,5,0,1022.9,-4.8,-5,69,0
07.03.2017-06:00,4.8,0,1022.8,-5,-5,67,0
07.03.2017-07:00,4.8,0,1022.8,-4.7,-5.1,66,0
07.03.2017-08:00,5.4,3,1022.5,14.7,-5.3,66,71.5833
07.03.2017-09:00,6.9,45,1021.9,101.7,-4.4,61,241.8333
07.03.2017-10:00,6.9,60,1021.1,272.1,-3.5,55,472.8332
07.03.2017-11:00,6.2,60,1020.4,354.1,-2.2,49,4201.6669
07.03.2017-12:00,5.5,60,1019.8,424.3,-1,44,6279.8334
07.03.2017-13:00,3.9,60,1019.3,451,-0.2,42,6636.8334
07.03.2017-14:00,5.3,60,1018.9,426.1,-0.4,40,4832.6665
07.03.2017-15:00,5.3,40,1018.3,177.9,-0.3,40,940.6666
07.03.2017-16:00,4.3,59,1017.8,129.8,0,40,460.1666
07.03.2017-17:00,3.8,56,1017.8,83.8,-0.5,43,464.1666
07.03.2017-18:00,3.7,6,1017.8,28.5,-0.8,45,13.3333
07.03.2017-19:00,3.4,0,1017.8,-4.2,-1.1,46,0
07.03.2017-20:00,3.5,0,1017.7,-5.1,-1.6,49,0
07.03.2017-21:00,4.7,0,1017.6,-5.2,-2,60,0
07.03.2017-22:00,2.6,0,1017.4,-5.2,-3,73,0
07.03.2017-23:00,2.4,0,1017.2,-5.4,-3.3,72,0
08.03.2017-00:00,2.9,0,1016.9,-5.1,-3.5,72,0
08.03.2017-01:00,2.5,0,1016.6,-5,-3.6,71,0
08.03.2017-02:00,3.1,0,1016.2,-4.6,-3.6,69,0
08.03.2017-03:00,2.5,0,1015.9,-4.7,-3.6,68,0
08.03.2017-04:00,2,0,1015.4,-5,-3.7,70,0
08.03.2017-05:00,0.7,0,1015.1,-5.3,-3.9,71,0
08.03.2017-06:00,0.9,0,1014.6,-5.9,-4,71,0
08.03.2017-07:00,1.8,0,1013.9,-5.8,-4.7,75,0
08.03.2017-08:00,0.3,2,1014,20.6,-4.6,75,41.25
08.03.2017-09:00,1.2,0,1013.9,53,-4.7,74,658.8332
08.03.2017-10:00,1.2,59,1013.4,249.2,-2.9,63,1063.3333
08.03.2017-11:00,1.6,60,1012.9,365.5,-1.5,54,4009.3332
08.03.2017-12:00,2.9,60,1012.7,426.7,-0.6,51,6046.8336
08.03.2017-13:00,3.4,60,1012.6,450.3,-0.7,48,6448.1668
08.03.2017-14:00,3.9,60,1012,407.4,0.7,47,5641.3334
08.03.2017-15:00,3.1,14,1011.5,172.8,-0.5,54,1487.3332
08.03.2017-16:00,4.9,0,1011,102.5,-1.1,57,764.3333
08.03.2017-17:00,4.2,0,1010.5,55.6,-1.4,66,353.1667
08.03.2017-18:00,2.2,0,1010.3,5,-2.8,87,25.3333
08.03.2017-19:00,0.7,0,1009.9,-4.5,-2.9,91,0
08.03.2017-20:00,1.3,0,1009.4,-6.1,-2.5,93,0
08.03.2017-21:00,2,0,1008.6,-6.6,-2.2,95,0
08.03.2017-22:00,2.8,0,1007.8,-5.9,-2,94,0
08.03.2017-23:00,2.9,0,1007,-5.7,-1.7,93,0
09.03.2017-00:00,2.1,0,1006.5,-5.8,-1.4,96,0
09.03.2017-01:00,2.2,0,1006.3,-6,-1,97,0
09.03.2017-02:00,2.7,0,1005.9,-6,-1.1,97,0
09.03.2017-03:00,2.8,0,1005.3,-5.8,-1,95,0
09.03.2017-04:00,3,0,1004.6,-5.8,-0.7,95,0
09.03.2017-05:00,2.8,0,1004.3,-6.2,-0.4,95,0
09.03.2017-06:00,2.7,0,1003.9,-6,-0.2,95,0
09.03.2017-07:00,2,0,1004,-5.8,-0.1,96,0
09.03.2017-08:00,1.1,0,1004.5,13.8,0.2,97,0
09.03.2017-09:00,2.9,0,1004.7,50.1,-0.2,97,0
09.03.2017-10:00,2,0,1005,100.4,0.2,97,0
09.03.2017-11:00,2.6,0,1005.1,178.4,0.5,92,0
09.03.2017-12:00,1.9,0,1005.8,118.8,0.7,92,0
09.03.2017-13:00,1.4,0,1005.9,109.1,0.6,92,0
09.03.2017-14:00,2.9,0,1005.8,106.5,1,92,304.5
09.03.2017-15:00,2,0,1005.8,91.1,1.3,95,1370.4999
09.03.2017-16:00,1.4,0,1005.5,53.6,1.6,94,782.6667
09.03.2017-17:00,0.4,0,1005.4,37.3,2.2,93,327.9999
09.03.2017-18:00,0.6,0,1005.5,13.3,2.1,94,54.6667
09.03.2017-19:00,1.3,0,1005.7,-5,2.3,96,0
09.03.2017-20:00,1.6,0,1005.9,-5.6,2.3,98,0
09.03.2017-21:00,1.1,0,1006.4,-5.5,2.4,98,0
09.03.2017-22:00,0.6,0,1006.7,-6.5,2.1,98,0
09.03.2017-23:00,1.4,0,1007.7,-6,1.7,98,0
10.03.2017-00:00,1.3,0,1008.9,-6.3,1.5,96,0
10.03.2017-01:00,1.6,0,1010,-6.5,1.9,82,0
10.03.2017-02:00,3.2,0,1011,-6.9,1.3,83,0
10.03.2017-03:00,1.1,0,1011.9,-7.3,-0.3,90,0
10.03.2017-04:00,2.5,0,1012.7,-7.2,0.8,75,0
10.03.2017-05:00,1.3,0,1013.7,-7.3,-0.2,80,0
10.03.2017-06:00,3,0,1014.4,-7.3,0.1,76,0
10.03.2017-07:00,2,0,1015.5,-5.3,-0.5,79,0
10.03.2017-08:00,3.5,48,1016.5,48,1.5,66,0
10.03.2017-09:00,5.5,60,1017.1,168,3.9,53,0
10.03.2017-10:00,3.5,60,1018,285.6,4.4,52,128
10.03.2017-11:00,3.9,60,1018.7,378.4,5.3,50,4566.3335
10.03.2017-12:00,4.5,60,1019.1,440.1,6.4,47,6210.9998
10.03.2017-13:00,4.3,60,1019.4,465,6.5,45,6514.8332
10.03.2017-14:00,4.2,60,1019.8,405.9,6.8,42,6304.9998
10.03.2017-15:00,3.3,60,1019.9,377.7,7.1,38,2103
10.03.2017-16:00,2.5,60,1020,275.9,7.1,37,359.5
10.03.2017-17:00,1.1,60,1019.8,153.8,6.7,37,1084.8334
10.03.2017-18:00,0.7,29,1020.1,25.1,4.9,44,254.8334
10.03.2017-19:00,2.4,0,1020.6,-6.4,1.8,65,0
10.03.2017-20:00,1.5,0,1021.2,-6.6,1.8,67,0
10.03.2017-21:00,2.3,0,1021.6,-6.8,1.7,68,0
10.03.2017-22:00,2.3,0,1022.1,-6.2,1.6,70,0
10.03.2017-23:00,2.6,0,1022.1,-5.8,1.6,68,0
11.03.2017-00:00,1.8,0,1022.4,-6.1,1.3,70,0
11.03.2017-01:00,1.8,0,1022.9,-6.9,0.2,76,0
11.03.2017-02:00,1.9,0,1023.4,-7.6,-0.7,76,0
11.03.2017-03:00,0.2,0,1023.5,-7.1,-1.6,77,0
11.03.2017-04:00,0.6,0,1023.5,-7.3,-2.2,81,0
11.03.2017-05:00,1.9,0,1023.6,-7.5,-2.3,83,0
11.03.2017-06:00,2,0,1023.8,-7,-2.1,80,0
11.03.2017-07:00,3.2,0,1024.2,-4.6,-1.9,79,0
11.03.2017-08:00,2.8,57,1024.6,53.9,-1.1,75,0
11.03.2017-09:00,0.8,60,1025.1,170.9,0.7,70,0
11.03.2017-10:00,0.6,60,1025.3,286.3,3.3,58,199.8333
11.03.2017-11:00,1.4,60,1025.2,379.1,5,57,4807.0001
11.03.2017-12:00,1.3,60,1024.8,436.7,6.7,55,6040.1668
11.03.2017-13:00,2.4,60,1024.8,440.3,6,57,5728.1668
11.03.2017-14:00,2.2,60,1024.7,402.6,6.5,55,5387
11.03.2017-15:00,1.5,60,1024.2,313.1,6.6,57,2912.8333
11.03.2017-16:00,2.7,51,1023.9,221.9,5,66,701.8333
11.03.2017-17:00,2.7,43,1024,113.1,4.2,77,542
11.03.2017-18:00,4.4,0,1024.7,17.2,1.3,93,122.5
11.03.2017-19:00,2.7,0,1024.6,-5.1,1.3,97,0
11.03.2017-20:00,2.7,0,1024.5,-5.4,1.5,96,0
11.03.2017-21:00,2.9,0,1024.6,-5,1.7,94,0
11.03.2017-22:00,3,0,1024.3,-5.1,1.9,93,0
11.03.2017-23:00,3.5,0,1024.3,-5.5,1.3,96,0
12.03.2017-00:00,2.6,0,1024,-5.3,1.1,98,0
12.03.2017-01:00,3.1,0,1024,-5.2,0.9,99,0
12.03.2017-02:00,2.4,0,1023.8,-4.7,1.1,99,0
12.03.2017-03:00,2.6,0,1023.4,-4.9,1.1,99,0
12.03.2017-04:00,3.6,0,1022.9,-5.2,1.2,100,0
12.03.2017-05:00,3.2,0,1022.7,-5.5,1.4,100,0
12.03.2017-06:00,3.7,0,1022.5,-5.5,1.3,100,0
12.03.2017-07:00,2.7,0,1022.5,-4.5,1.4,100,0
12.03.2017-08:00,2.3,0,1022.3,7.8,1.6,100,0
12.03.2017-09:00,2.9,0,1022.5,53,2,100,846.4999
12.03.2017-10:00,2.9,0,1022.7,62.1,2.4,100,1070
12.03.2017-11:00,2.6,0,1022.7,124.3,3.3,98,1326.5
12.03.2017-12:00,2.7,0,1022.9,122.5,3.7,93,1766.8333
12.03.2017-13:00,3.9,0,1022.6,108.8,4.1,89,1181.8333
12.03.2017-14:00,3.7,0,1022.7,80.6,3.8,90,843.6667
12.03.2017-15:00,4.1,0,1022.5,64.8,4,87,632.8333
12.03.2017-16:00,2.5,0,1022.6,46.7,3.9,88,579.8333
12.03.2017-17:00,4.2,0,1022.5,25.9,3.7,89,188.5001
12.03.2017-18:00,4.1,0,1022.5,8.1,3.2,92,44.5
12.03.2017-19:00,3.1,0,1022.9,-3.6,2.9,93,0
12.03.2017-20:00,3.1,0,1023.3,-4.7,2.8,93,0
12.03.2017-21:00,2.7,0,1023.4,-4.9,2.6,94,0
12.03.2017-22:00,2.5,0,1023.4,-4.8,2.5,93,0
12.03.2017-23:00,2.1,0,1023.3,-4.9,2.2,94,0
13.03.2017-00:00,2.2,0,1023.2,-5.3,2,94,0
13.03.2017-01:00,2.4,0,1023,-5.8,1.9,95,0
13.03.2017-02:00,1.8,0,1022.7,-5.5,1.7,96,0
13.03.2017-03:00,2.5,0,1022.4,-5.2,2,95,0
13.03.2017-04:00,3.2,0,1021.9,-5,2,96,0
13.03.2017-05:00,2.9,0,1021.7,-4.9,2,95,0
13.03.2017-06:00,3.6,0,1021.3,-5,2,91,0
13.03.2017-07:00,3.1,0,1021.2,-1.7,1.8,90,0
13.03.2017-08:00,3.7,0,1021.1,12,2.1,91,0
13.03.2017-09:00,3.8,0,1021.1,27.8,2.1,90,74.5
13.03.2017-10:00,2.9,0,1021,39.9,1.1,96,748.1666
13.03.2017-11:00,3.5,0,1020.7,45.6,1.3,97,353.8334
13.03.2017-12:00,4.8,0,1020.3,39.6,1.4,97,429.8333
13.03.2017-13:00,2.9,0,1020.1,32.5,2.1,98,410.1667
13.03.2017-14:00,4,0,1019.9,15.5,2.4,97,230.3333
13.03.2017-15:00,4.2,0,1019.7,14.9,2.4,94,56.3334
13.03.2017-16:00,3.6,0,1019.4,16.7,2.4,95,134.3334
13.03.2017-17:00,3.8,0,1018.9,4,2.4,95,81.5
13.03.2017-18:00,3.7,0,1018.5,-1.4,2.4,95,0
13.03.2017-19:00,2.9,0,1018.5,-4.5,2.5,95,0
13.03.2017-20:00,2.7,0,1018.7,-5.1,2.4,96,0
13.03.2017-21:00,2.7,0,1018.9,-5.3,2.4,97,0
13.03.2017-22:00,3.2,0,1018.6,-5.4,2.6,96,0
13.03.2017-23:00,1.9,0,1018.6,-5.2,2.5,95,0
14.03.2017-00:00,1.6,0,1018.5,-5.5,2.3,96,0
14.03.2017-01:00,1,0,1018.4,-6,1.9,97,0
14.03.2017-02:00,1.6,0,1017.5,-6.1,1.9,98,0
14.03.2017-03:00,2,0,1017.2,-5.7,1.8,98,0
14.03.2017-04:00,0.6,0,1016.8,-5.5,1.4,99,0
14.03.2017-05:00,0.6,0,1016.1,-6.1,1.7,99,0
14.03.2017-06:00,1.1,0,1015.1,-6,1.7,98,0
14.03.2017-07:00,0.6,0,1013.9,-4.4,1.8,98,0
14.03.2017-08:00,2,0,1013.7,3.9,2.1,96,0
14.03.2017-09:00,1.5,0,1013.2,22.5,2.6,93,0
14.03.2017-10:00,2.3,0,1012,30.3,2.8,92,147.8333
14.03.2017-11:00,3.8,0,1010,41.2,3.3,97,685.3333
14.03.2017-12:00,4.8,0,1009.1,58.5,3.7,96,1200.8334
14.03.2017-13:00,3.7,0,1008.2,48.9,4.3,95,1050.8333
14.03.2017-14:00,4.2,0,1007.1,145.7,5.3,92,2660.6666
14.03.2017-15:00,4.8,22,1005.5,239.5,6.4,86,3990.4999
14.03.2017-16:00,0.6,39,1004.8,203.4,7.6,79,773
14.03.2017-17:00,4.5,59,1004.7,169.7,9.4,44,1353.3333
14.03.2017-18:00,7.7,52,1004.7,58.9,8.1,46,633.5
14.03.2017-19:00,5.1,0,1004.9,-4.2,6.9,50,0
14.03.2017-20:00,6.2,0,1004.5,-6.8,5.7,57,0
14.03.2017-21:00,4,0,1004.9,-7,4.5,70,0
14.03.2017-22:00,3.3,0,1004.7,-7.2,3.9,71,0
14.03.2017-23:00,4.6,0,1004.3,-6.8,3.7,71,0
15.03.2017-00:00,2.9,0,1004.8,-7,3.6,71,0
15.03.2017-01:00,3.7,0,1004.2,-6.7,3.5,72,0
15.03.2017-02:00,3.3,0,1003.7,-6.5,4,59,0
15.03.2017-03:00,4.4,0,1004,-6.6,5.5,53,0
15.03.2017-04:00,4.3,0,1004.1,-6.9,5.4,51,0
15.03.2017-05:00,3.1,0,1005.1,-6.9,5.3,50,0
15.03.2017-06:00,3.6,0,1005.5,-6.7,5.7,50,0
15.03.2017-07:00,4.1,6,1005.8,-0.3,6,49,0
15.03.2017-08:00,5.9,60,1006.4,77.2,6.8,44,0
15.03.2017-09:00,6.5,60,1007.3,203.9,7.6,43,0
15.03.2017-10:00,5,60,1008.2,325.9,8.8,39,369
15.03.2017-11:00,5,60,1008.9,417.3,9.4,36,5377.6668
15.03.2017-12:00,5.2,60,1009.7,474.3,9.7,34,6272.1668
15.03.2017-13:00,5.4,56,1009.7,465.3,10.3,36,6583.3334
15.03.2017-14:00,6.9,60,1010,512,10.2,34,5527.3334
15.03.2017-15:00,5.9,59,1010.2,394.9,10.3,32,4133.9999
15.03.2017-16:00,5.2,60,1010.5,318,9.7,35,558
15.03.2017-17:00,5.2,60,1010.9,186.4,8.3,44,1667.6667
15.03.2017-18:00,4,57,1011.3,59.2,7.3,44,573.9999
15.03.2017-19:00,3.1,3,1011.4,-3.1,6.1,54,0
15.03.2017-20:00,1.4,0,1011.9,-6.7,5.1,58,0
15.03.2017-21:00,1.9,0,1011.8,-7.5,4.9,57,0
15.03.2017-22:00,3.7,0,1012.4,-6.8,4.9,55,0
15.03.2017-23:00,3.6,0,1012.8,-6.4,5.3,52,0
16.03.2017-00:00,1.8,0,1013.6,-7,4.1,55,0
16.03.2017-01:00,1.5,0,1014.1,-7.1,3.3,59,0
16.03.2017-02:00,1.5,0,1015.1,-7.8,0.8,69,0
16.03.2017-03:00,1.4,0,1015,-6.9,-0.5,77,0
16.03.2017-04:00,0.9,0,1015,-6.9,-0.8,78,0
16.03.2017-05:00,2.7,0,1014.8,-6.5,-0.1,73,0
16.03.2017-06:00,1.6,0,1014.9,-6,0.5,72,0
16.03.2017-07:00,1.3,0,1014.8,-2.1,1,72,0
16.03.2017-08:00,0.2,0,1014.2,16.3,2,69,148.3333
16.03.2017-09:00,1.3,0,1013.6,81.2,3.3,63,649.8333
16.03.2017-10:00,0.8,0,1012.8,130.7,4.7,57,1400.5
16.03.2017-11:00,1.2,0,1011.9,141,5.2,60,979.3333
16.03.2017-12:00,2.3,4,1010.7,240.3,5.7,65,2002.3333
16.03.2017-13:00,1.2,3,1009.6,268.8,7,63,2450.8333
16.03.2017-14:00,4,0,1007.8,187.8,7.4,67,1678.8332
16.03.2017-15:00,3.9,0,1006.4,119.5,6.7,75,726.9999
16.03.2017-16:00,3.7,0,1004.8,27,6.7,79,351.8333
16.03.2017-17:00,6.6,0,1003,21,6.8,86,344.8333
16.03.2017-18:00,4.8,0,1001.8,-0.6,6,91,94.3333
16.03.2017-19:00,6.5,0,1000.1,-4.2,5,95,0
16.03.2017-20:00,4.8,0,998.8,-4.8,5,94,0
16.03.2017-21:00,4.8,0,997.6,-4.8,4.9,95,0
16.03.2017-22:00,4.8,0,996.7,-4.8,5.3,93,0
16.03.2017-23:00,4.2,0,996,-5.7,4.9,94,0
17.03.2017-00:00,1.1,0,994.8,-6.3,4.6,95,0
17.03.2017-01:00,0.5,0,994.3,-6.5,4.1,95,0
17.03.2017-02:00,1,0,993.9,-7,3.5,81,0
